Sample,Reference,Depth,Peff / Mpa,Conditions,Drainage,Vp,Vs,epsilon,delta*,delta,gamma,rho
Taylor sandstone,Rai and Frisillo 1982,,0,saturated,,3368,1829,0.11,-0.127,-0.035,0.255,2.5
Mesaverde mudshale,Kelly 1983,4903,27.58,saturated,undrained,4529,2703,0.034,0.25,0.211,0.046,2.52
Mesaverde immature sandstone ,Kelly 1983,4912,27.58,saturated,undrained,4476,2814,0.097,0.051,0.091,0.051,2.5
Mesaverde immature sandstone ,Kelly 1983,4946,27.58,saturated,undrained,4099,2346,0.077,-0.039,0.01,0.066,2.45
Mesaverde silty limestone ,Kelly 1983,5469.5,27.58,saturated,undrained,4972,2899,0.056,-0.041,-0.003,0.067,2.63
Mesaverde immature sandstone ,Kelly 1983,5481.3,27.58,saturated,undrained,4349,2571,0.091,0.134,0.148,0.105,2.46
Mesaverde clayshale ,Kelly 1983,5501,27.58,saturated,undrained,3928,2055,0.334,0.818,0.73,0.575,2.59
Mesaverde immature sandstone,Kelly 1983,5555.2,27.58,saturated,undrained,4539,2706,0.06,0.147,0.143,0.045,2.48
Mesaverde laminated siltstone ,Kelly 1983,5566.3,27.58,saturated,undrained,4449,2585,0.091,0.688,0.565,0.046,2.57
Mesaverde immature sandstone ,Kelly 1983,5837.5,27.58,saturated,undrained,4672,2833,0.023,-0.013,0.002,0.013,2.47
Mesaverde clayshale,Kelly 1983,5858.6,27.58,saturated,undrained,3794,2074,0.189,0.154,0.204,0.175,2.56
Mesaverde calcareous sandstone ,Kelly 1983,6423.6,27.58,saturated,undrained,5460,3219,0,-0.345,-0.264,-0.007,2.69
Mesaverde immature sandstone ,Kelly 1983,6455.1,27.58,saturated,undrained,4418,2587,0.053,0.173,0.158,0.133,2.45
Mesaverde immature sandstone ,Kelly 1983,6542.6,27.58,saturated,undrained,4405,2542,0.08,-0.057,-0.003,0.093,2.51
Mesaverde mudshale ,Kelly 1983,6563.7,27.58,saturated,undrained,5073,2998,0.01,0.009,0.012,-0.005,2.68
Mesaverde sandstone ,Kelly 1983,7888.4,27.58,saturated,undrained,4869,2911,0.033,0.03,0.04,-0.019,2.5
Mesaverde mudshale ,Kelly 1983,7939.5,27.58,saturated,undrained,4296,2471,0.081,0.118,0.129,0.048,2.66
Mesaverde shale ,Lin 1985,350,20,dry,,3383,2438,0.065,-0.003,0.059,0.071,2.35
Mesaverde sandstone,Lin 1985,1582,20,dry,,3688,2774,0.081,0.01,0.057,0,2.73
Mesaverde shale ,Lin 1985,1599,20,dry,,3901,2682,0.137,-0.078,-0.012,0.026,2.64
Mesaverde sandstone,Lin 1985,1958,50,dry,,4237,3018,0.036,-0.037,-0.039,0.03,2.69
Mesaverde shale ,Lin 1985,1968,50,dry,,4846,3170,0.063,-0.031,0.008,0.028,2.69
Mesaverde sandstone,Lin 1985,3512,50,dry,,4633,3231,-0.026,-0.004,-0.033,0.035,2.71
Mesaverde shale ,Lin 1985,3511,50,dry,,4359,3048,0.172,-0.088,0,0.157,2.81
Mesaverde sandstone,Lin 1985,3805,20,dry,,3962,2926,0.055,-0.066,-0.089,0.041,2.87
Mesaverde shale ,Lin 1985,3883,50,dry,,3749,2621,0.128,-0.025,0.078,0.1,2.92
Dog Creek shale ,Robertson and Corrigan 1983 ,143.3,,,,1875,826,0.225,-0.02,0.1,0.345,2
Wills Point shale ,Robertson and Corrigan 1983 ,58.3,,,,1058,387,0.215,0.359,0.315,0.28,1.8
Wills Point shale ,Robertson and Corrigan 1983,0,0,saturated,undrained,4130,2380,0.085,0.104,0.12,0.185,2.64
Cotton Valley Shale,Tosaya 1982,,111.7,saturated,undrained,4721,2890,0.135,0.172,0.205,0.18,2.64
Pierre shale,White et al. 1982 ,450,,,,2074,869,0.11,0.058,0.09,0.165,2.25
Pierre shale,White et al. 1982 ,650,,,,2106,887,0.195,0.128,0.175,0.3,2.25
Pierre shale,White et al. 1982 ,950,,,,2202,969,0.015,0.085,0.06,0.03,2.25
